Train/Test,Class number,Profile length,Profile type,Accuracy score
0,train,9,1-grams,word,0.4875
1,train,9,2-grams,word,0.6750
2,train,9,3-grams,word,0.6000
3,train,9,3-grams,character,0.4875
4,train,9,4-grams,character,0.5875
5,train,9,5-grams,character,0.5625
6,train,9,6-grams,character,0.5625
7,train,9,7-grams,character,0.5875
8,train,9,8-grams,character,0.6500
9,train,9,9-grams,character,0.6500
10,train,9,10-grams,character,0.6750
11,train,4,unigrams,word,0.4875
12,train,4,bigrams,word,0.6625
13,train,4,trigrams,word,0.5750
14,train,4,3-grams,character,0.5000
15,train,4,4-grams,character,0.5000
16,train,4,5-grams,character,0.5250
17,test,9,1-grams,word,0.5000
18,test,9,2-grams,word,0.4500
19,test,9,3-grams,word,0.5500
20,test,9,3-grams,character,0.5000
21,test,9,4-grams,character,0.5000
22,test,9,5-grams,character,0.5000
23,test,9,6-grams,character,0.5000
24,test,9,7-grams,character,0.5000
25,test,9,8-grams,character,0.5500
26,test,9,9-grams,character,0.5000
27,test,9,10-grams,character,0.5000
28,test,4,1-grams,word,0.5000
29,test,4,2-grams,word,0.5000
30,test,4,3-grams,word,0.5000
31,test,4,3-grams,character,0.5000
32,test,4,4-grams,character,0.5000
33,test,4,5-grams,character,0.4500